,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
14,6290,"г. Новосибирск, пр-кт. Академика Коптюга, д. 13",ТСЖ «Академ-2»,8(383)335-65-52,2010,18 451.60,315
15,6291,"г. Новосибирск, пр-кт. Академика Коптюга, д. 15",ТСЖ «Академ-2»,8(383)335-65-52,2010,13 043.60,156
16,6292,"г. Новосибирск, ул. Залесского, д. 5",ТСЖ «Академия»,8 913 928 80 69,2010,17 020.00,400
17,6293,"г. Новосибирск, ул. Мичурина, д. 24",ТСЖ «Академия»,+7-9139131251,—,—,—
18,6294,"г. Новосибирск, ул. Ильича, д. 23",ТСЖ «Академ-Уют»,8(383)332-55-19,2003,15 467.90,—
19,6295,"г. Новосибирск, ул. Адриена Лежена, д. 13","ТСЖ «А.Лежена,13»",287-91-39,—,—,—
20,6296,"г. Новосибирск, ул. Мичурина, д. 19",ТСЖ «Александровский»,89139186181,1941,7 079.90,108
21,6297,"г. Новосибирск, ул. Сибирская, д. 57",ТСЖ «Александровский сад»,(383) 2460884,2009,22 913.00,56
22,6298,"г. Новосибирск, ул. Максима Горького, д. 47",ТСЖ «Альтернатива»,8-913-480-3-666,2007,3 170.00,21
23,6299,"г. Новосибирск, ул. Линейная, д. 27",ТСЖ «Альянс»,+7-913-906-6879,1990,—,—
24,6300,"г. Новосибирск, ул. Бориса Богаткова, д. 218",ТСЖ «Ангара»,+7923-241-87-68,—,—,—
1,6302,"г. Новосибирск, ул. Ленинградская, д. 182",ТСЖ «Антенна»,8 913 923 25 21,1977,10 863.90,398
2,6303,"г. Новосибирск, ул. Арбузова, д. 10",ТСЖ «Арбузово»,89137567861,2004,3 389.70,31
3,6304,"г. Новосибирск, ул. Арбузова, д. 12",ТСЖ «Арбузово»,89137567861,2003,9 682.60,161
4,6305,"г. Новосибирск, ул. Железнодорожная, д. 8, к. 4",ТСЖ «Астра»,89059318914,1981,4 986.00,190
5,6306,"г. Новосибирск, ул. Римского-Корсакова, д. 3/2",ТСЖ «Афал»,8-9137857715,2001,3 060.00,84
6,6307,"г. Новосибирск, ул. Блюхера, д. 17/4",ТСЖ «Афал-3»,8913-785-7715,2001,2 230.40,46
7,6308,"г. Новосибирск, ул. Балтийская, д. 23","ТСЖ «Балтийская, 23»",8-383-335-61-62,12.2007,1 344.40,234
8,6309,"г. Новосибирск, пр-кт. Карла Маркса, д. 3",ТСЖ «Башня плюс»,2911963,1958,3 221.00,—
9,6310,"г. Новосибирск, пр-кт. Дзержинского, д. 1/1",ТСЖ «Березовая роща»,+7383-363-17-84,2006,24 736.10,513
10,6311,"г. Новосибирск, ул. Полякова, д. 14",ТСЖ «Биатлон»,8-913-381-79-50,—,—,—
11,6312,"г. Новосибирск, ул. Адриена Лежена, д. 5А",ТСЖ «Бирюса»,+7-951-382-36-5,—,3 935.20,—
12,6313,"г. Новосибирск, ул. Линейная, д. 29\1",ТСЖ «Блеск»,2281737,1991,4 163.90,166
13,6314,"г. Новосибирск, ул. Бориса Богаткова, д. 241",ТСЖ «Богаткова 241»,8-383-211-67-81,30.12.1968,14 861.70,450
14,6315,"г. Новосибирск, ул. Богдана Хмельницкого, д. 33/1",ТСЖ «Богдана Хмельницкого 33/1»,89529219909,2011,6 415.90,—
15,6316,"г. Новосибирск, ул. Дачная, д. 23",ТСЖ «Ботанический»,8 913 065 12 40,—,3 001.00,107
16,6317,"г. Новосибирск, ул. Дачная, д. 23/1",ТСЖ «Ботанический»,8 913 065 12 40,1965,3 348.00,113
17,6318,"г. Новосибирск, ул. Дачная, д. 23/2",ТСЖ «Ботанический»,8 913 065 12 40,1966,3 333.00,92
18,6319,"г. Новосибирск, ул. 9 Гвардейской Дивизии, д. 25",ТСЖ «Бригантина»,8(383)380-61-78,1982,23 600.80,1 220
19,6320,"г. Новосибирск, ул. Чемская, д. 14",ТСЖ «Бугринская роща»,+79139235895,1978,5 553.88,177
20,6321,"г. Новосибирск, ул. Чемская, д. 14а",ТСЖ «Бугринская роща»,+79139235895,1979,4 099.00,—
21,6322,"г. Новосибирск, ул. Обогатительная, д. 4",ТСЖ «Бугринская роща-1»,(383) 317-44-40,—,—,—
22,6323,"г. Новосибирск, ул. Оловозаводская, д. 12/1",ТСЖ «Бугринская роща - 2»,89831316405,1992,3 988.20,263
23,6324,"г. Новосибирск, ул. Богдана Хмельницкого, д. 7/1",ТСЖ «Б.Хмельницкого 9»,276-11-46,2006,4 520.00,82
24,6325,"г. Новосибирск, ул. Абаканская, д. 16",ТСЖ «Варшавская»,83833453645,2005,5 706.50,197
1,6327,"г. Новосибирск, ул. Варшавская, д. 15",ТСЖ «Варшавская»,83833453645,2002,5 495.50,190
2,6328,"г. Новосибирск, ул. Варшавская, д. 15А",ТСЖ «Варшавская»,83833453645,2000,6 049.50,180
3,6329,"г. Новосибирск, ул. Троллейная, д. 146",ТСЖ «Версия»,8-913-941-74-61,1984,8 545.00,434
4,6330,"г. Новосибирск, ул. Дуси Ковальчук, д. 173",ТСЖ «Вертикаль»,(383)2-000-496,—,—,—
5,6331,"г. Новосибирск, ул. Вертковская, д. 42","ТСЖ «Вертковская, 42»",+79039333332,—,15 240.00,185
6,6332,"г. Новосибирск, ул. Вертковская, д. 40",ТСЖ «Вертковский»,8-913-484-38-37,—,10 447.60,418
7,6333,"г. Новосибирск, ул. Ветлужская, д. 22А",ТСЖ «Ветлужская 22а»,8-913-984-55-52,1982,7 594.40,384
8,6334,"г. Новосибирск, ул. Ветлужская, д. 28",ТСЖ «Ветлужская 28»,(383)334-75-68,1989,8 522.00,330
9,6335,"г. Новосибирск, ул. Толбухина, д. 25/1",ТСЖ «Виктория»,89139332398,2009-2012,9 439.00,214
10,6336,"г. Новосибирск, ул. Костычева, д. 1",ТСЖ «ВК-НСК»,209-08-21,—,—,—
11,6337,"г. Новосибирск, ул. Вокзальная магистраль, д. 10",ТСЖ «Вокзальная 10»,383-246-04-19,2000,26 300.00,360
12,6338,"г. Новосибирск, ул. Вокзальная магистраль, д. 5",ТСЖ «Вокзальная магистраль 5»,383-25-59-25-9,1969,26 623.00,890
13,6339,"г. Новосибирск, ул. Доватора, д. 23",ТСЖ «Волочаевский»,89134503293,1974,6 185.30,211
14,6340,"г. Новосибирск, ул. Выставочная, д. 30",ТСЖ «Восток»,351-85-93,—,—,—
15,6341,"г. Новосибирск, ул. Выборная, д. 122",ТСЖ «Выбор-1»,8-383-244-09-19,2000,19 140.40,628
16,6342,"г. Новосибирск, ул. Выборная, д. 129/1",ТСЖ «Выбор-129»,8-383-269-22-90,2003,4 775.20,240
17,6343,"г. Новосибирск, ул. 25 лет Октября, д. 9",ТСЖ «Высотка»,(383)276-89-15,2007,9 723.60,254
18,6344,"г. Новосибирск, ул. Добролюбова, д. 18/1",ТСЖ «Высотка»,8 913 794 20 67,2008,6 841.50,—
19,6345,"г. Новосибирск, ул. Есенина, д. 31/1",ТСЖ «Высотное»,8-953-793-7513,2008,7 596.30,435
20,6346,"г. Новосибирск, ул. Высоцкого, д. 11",ТСЖ «Высоцкого 11»,89538646360,1988,20 835.90,956
21,6347,"г. Новосибирск, ул. Боровая Партия, д. 17",ТСЖ «Гeолог-17»,89139878272,2000,4 640.10,139
22,6348,"г. Новосибирск, ул. Галущака, д. 11",ТСЖ «Галущака-11»,2461359,2011,21 188.00,—
23,6349,"г. Новосибирск, ул. Троллейная, д. Дом 9/1",ТСЖ «Гард-2005»,8-913-730-71-11,2005,—,150
24,6350,"г. Новосибирск, ул. Выборная, д. 106/1",ТСЖ «Гармония»,8-961-879-81-89,—,—,—
1,6352,"г. Новосибирск, пр-кт. Академика Коптюга, д. 5",ТСЖ «Гео»,(383) 330 5788,—,13 096.00,—
2,6353,"г. Новосибирск, ул. Геодезическая, д. 5/1",ТСЖ «Геодезическая 5/1»,380-94-22,2009,7 612.00,—
3,6354,"г. Новосибирск, ул. Гоголя, д. 42",ТСЖ «Гоголя Ипподромская»,(383)2015700,2005,28 610.00,—
4,6355,"г. Новосибирск, ул. Линейная, д. 37",ТСЖ «Горизонт»,2636545,1967,2 668.30,135
5,6356,"г. Новосибирск, ул. Линейная, д. 41",ТСЖ «Горизонт»,2636545,1967,6 394.60,265
6,6357,"г. Новосибирск, ул. Золотодолинская, д. 35",ТСЖ «Городок»,+79133871307,—,—,—
7,6358,"г. Новосибирск, ул. Галущака, д. 7",ТСЖ «Город Солнца»,89139214105,2000,2 631.80,59
8,6359,"г. Новосибирск, ул. Чехова, д. 111",ТСЖ «Гулливер»,+7(383)3190145,2009,18 153.00,560
9,6360,"г. Новосибирск, ул. Дачная, д. 21/4",ТСЖ «Дачная 21/4»,(383) 225-71-81,1975,18 200.20,632
10,6361,"г. Новосибирск, ул. Галущака, д. 2",ТСЖ «Два капитана»,(383)246-03-01,2008,18 694.00,300
11,6362,"г. Новосибирск, ул. Челюскинцев, д. 8",ТСЖ «Движенец»,8(383)201-02-89,1969,5 958.20,198
12,6363,"г. Новосибирск, ул. Депутатская, д. 26",УК «Дворянское гнездо»,(383) 222-31-39,1970,3 456.00,86
13,6364,"г. Новосибирск, ул. Дениса Давыдова, д. 1",ТСЖ «Дениса Давыдова 1»,+7(383)2654311,1984,19 093.00,770
14,6365,"г. Новосибирск, ул. Дениса Давыдова, д. 13",ТСЖ «Дениса Давыдова 13»,8(383)271-97-86,1991,5 396.00,297
15,6366,"г. Новосибирск, ул. Дениса Давыдова, д. 7/1",ТСЖ «Дениса Давыдова 7/1»,265-63-47,1975,8 095.30,421
16,6367,"г. Новосибирск, ул. Депутатская, д. 2",ТСЖ «Депутатская-2»,(383) 218-10-55,1997,14 650.00,429
17,6368,"г. Новосибирск, пр-кт. Красный, д. 51/5","ТСЖ «Державина,6»",8-913-774-8420,1934,2 293.60,52
18,6369,"г. Новосибирск, пр-кт. Дзержинского, д. 14/3",ТСЖ «Дзержинец»,89139126944,2004,4 013.80,30
19,6370,"г. Новосибирск, ул. Динамовцев, д. 15",ТСЖ «Динамовец»,8-913-934-24-02,2009,16 911.60,627
20,6371,"г. Новосибирск, ул. Динамовцев, д. 17",ТСЖ «Динамовец»,8-913-934-24-02,2010,12 511.10,481
21,6372,"г. Новосибирск, ул. Дуси Ковальчук, д. 258",ТСЖ «Д.Ковальчук 258»,(383)203-28-11,—,27 170.20,—
22,6373,"г. Новосибирск, ул. Дуси Ковальчук, д. 414",ТСЖ «Д.Ковальчук-414»,8(383) 2282576,—,—,—
23,6374,"г. Новосибирск, ул. Доватора, д. 15",ТСЖ «Доватора 15»,3832619633,1978,3 575.50,175
24,6375,"г. Новосибирск, ул. Доватора, д. 19",ТСЖ «Доватора-19»,8-913-944-7735,—,5 023.70,—
1,6377,"г. Новосибирск, ул. Серебренниковская, д. 4/1, к. 8",ТСЖ «Дом»,8-913-919-23-22,2006,13 100.70,—
2,6378,"г. Новосибирск, ул. Линейная, д. 45/1",ТСЖ «Дом 45/1 по ул. Линейная»,+79538572922,1971,10 161.58,366
